"","Year","iso","cp"
"1",1980,170,41
"2",2006,795,46.78869401
"3",1999,218,51.7
"4",2006,360,57.1
"5",1996,643,47.5
"6",1996,784,23.6
"7",1992,524,24.1
"8",1974,368,12.9
"9",1974,458,23.7
"10",2003,626,9.5
"11",1988,512,7.5
"12",2006,678,28.5
"13",1980,818,29.7
"14",1993,418,15.1
"15",1998,498,50.1
"16",1990,764,64.2
"17",1978,320,15.21666667
"18",1976,400,17.4
"19",1999,600,47.7
"20",1992,12,42.9
"21",1978,788,24.7
"22",1975,410,27
"23",1991,478,1.3
"24",1983,218,NA
"25",1994,64,18.8
"26",2006,694,4.880823872
"27",1986,188,58
"28",2007,516,53.44421465
"29",1979,686,0.6
"30",1993,484,55.2
"31",2003,222,61.9
"32",2007,214,70.03422061
"33",2006,760,46.31627127
"34",1982,604,17.63
"35",2007,140,10.23191238
"36",1981,764,NA
"37",2000,268,19.8
"38",1981,52,44.6240093
"39",1988,634,28.9
"40",1977,484,23.3
"41",2006,764,72.5
"42",1993,643,44.4
"43",1996,72,NA
"44",1974,792,11.4
"45",1988,192,67
"46",1982,340,23.6
"47",1981,356,28.1
"48",1972,410,20.06846384
"49",1978,760,22.4
"50",1978,780,46
"51",1980,484,32
"52",1976,586,3.9
"53",1984,214,36.2
"54",1985,340,30.4
"55",2006,854,14.3290945
"56",2006,328,33.6
"57",1989,156,69.9
"58",2007,706,1.1682672
"59",1981,384,0.5
"60",1995,218,45.7
"61",1990,48,30.3
"62",2002,760,35.1
"63",2006,108,7.821634964
"64",2003,12,51.7
"65",2006,368,32.84561211
"66",1999,586,NA
"67",1996,586,NA
"68",2000,84,50.95
"69",1998,132,46
"70",1988,340,32.9
"71",1973,4,1.6
"72",1989,50,24.5
"73",1993,222,48.4
"74",1984,50,13.8
"75",2007,288,14.00796327
"76",2003,262,5.8
"77",1977,600,23.3
"78",1999,682,NA
"79",2008,804,47.53613694
"80",1998,116,16.1
"81",2003,320,34.4
"82",1976,144,20.2
"83",2006,764,75.43400527
"84",2006,624,9.525274438
"85",2007,31,14.28765423
"86",2007,586,21.74667433
"87",1996,48,30.6
"88",1982,478,0.3
"89",1990,231,2.9
"90",1988,414,31.7
"91",1976,170,30.4
"92",1996,512,18.2
"93",1984,764,NA
"94",1997,682,28.5
"95",1992,104,13.6
"96",1996,340,40.3
"97",1996,646,7.1
"98",1994,642,13.9
"99",1998,504,48.8
"100",1999,320,30.87477739
"101",1979,484,32.8
"102",2000,360,54.3
"103",1980,360,24.6
"104",1996,360,52.5
"105",2002,360,51.8
"106",1996,360,52.6
"107",1998,360,54.2
"108",2000,360,53.8
"109",2000,64,30.7
"110",2006,214,60
"111",1978,188,NA
"112",1997,104,28.3
"113",1978,426,3
"114",2001,340,50.96457827
"115",1984,504,21.2
"116",1999,818,49.5
"117",2008,894,32.66594325
"118",2007,430,10.25945573
"119",2004,600,60.5
"120",1985,586,7.6258
"121",2006,417,45.72305384
"122",1981,50,11
"123",1976,388,36.2
"124",1998,818,51.8
"125",1980,288,5.5
"126",1994,760,28.3
"127",1997,586,NA
"128",2006,112,57.03718174
"129",2004,218,58.7
"130",2006,768,11.24440153
"131",1997,598,19.6
"132",1998,634,32.3
"133",1979,222,32.1
"134",1979,170,21.7
"135",1998,496,45.7
"136",1990,218,41.5
"137",2004,496,58.4
"138",1969,170,8.9
"139",2000,418,28.9
"140",1981,524,6.8
"141",2000,804,37.6
"142",1986,360,36.93523399
"143",1998,484,59.5
"144",1968,792,9.3
"145",1984,818,28.7
"146",1987,12,31.3
"147",2007,204,6.149999212
"148",1995,504,42.4
"149",2001,364,56
"150",1982,204,0.699999999999999
